Area,Native American,Asian,African American,Native Hawaiian/Pacific Islander,White,Multi-Race
Statewide,1.3219280949,-2.3959286763,2.3132458518,2.0071955014,-0.3400754416,0.8318772412
King,1.2078928516,-2.1844245711,2.8991756305,1.7355221773,-1.1520030934,1.1699250014
Pierce,1.2868811478,-2,2.1570437101,2.5509006646,-0.7131188522,0.2387868596
Snohomish,1.3561438102,-3.3219280949,2.0840642648,2.4828482831,-0.3219280949,1.8073549221
Clark,1.6959938131,-2.3219280949,2.6229303509,3.5692480299,-0.251538767,-1.8365012677
Spokane,1.9259994186,-5.6438561898,2.2720231891,3.3868109465,-0.3219280949,1.2630344058
Thurston,1.1826922975,-3.8365012677,1.0908534305,2.3673710656,-0.1202942337,0.6780719051
Yakima,1.7004397181,-3.6438561898,1.3161457423,-0.2688167584,-0.251538767,0.4222330007
