Area,Native American,Asian,African American,Native Hawaiian/Pacific Islander,White,Multi-Race
Statewide,2.5,0.19,4.97,4.02,0.79,1.78
King,2.31,0.22,7.46,3.33,0.45,2.25
Pierce,2.44,0.25,4.46,5.86,0.61,1.18
Snohomish,2.56,0.1,4.24,5.59,0.8,3.5
Clark,3.24,0.2,6.16,11.87,0.84,0.28
Spokane,3.8,0.02,4.83,10.46,0.8,2.4
Thurston,2.27,0.07,2.13,5.16,0.92,1.6
Yakima,3.25,0.08,2.49,0.83,0.84,1.34
